odom_x, odom_y, odom_theta, odom_vx, odom_vy, odom_om
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.757598037397471431e-04,0.000000000000000000e+00,1.348740974250985569e-04,3.986213907474318516e-03,0.000000000000000000e+00,4.167349369205952149e-03
1.082479155564100137e-03,-5.425633823449989393e-06,6.083986206628755984e-04,2.159764161648008302e-02,-4.140627261904627782e-04,1.740114594450758306e-02
2.812750017756310457e-03,-1.967525643405652891e-05,4.602818107028585704e-04,4.878786697695611241e-02,-1.403087936876510960e-03,1.516630737415566518e-02
5.922441755749881589e-03,-5.228291273107417739e-05,-1.598694623768941614e-04,8.811191280388668001e-02,-3.647298852083311668e-03,4.824236021908753433e-03
1.044415799090810289e-02,-1.347874422350454947e-04,-5.085689274711655558e-04,1.231411048477508569e-01,-9.540267993004685268e-03,-2.169604993630770869e-03
1.605644250883156432e-02,-2.384785674647768854e-04,-1.212846856471073162e-03,1.582081273274350830e-01,-1.649806325267145005e-02,-6.779712634348873147e-03
2.261575882204975782e-02,-3.141225806762734619e-04,-1.395324262927401292e-03,1.889834338671501635e-01,-2.101701272693859077e-02,-2.872264775405928075e-04
2.934770329868105834e-02,-3.300251980559829219e-04,-1.423672830922792770e-03,2.039305062209329777e-01,-2.100090156888970855e-02,4.572535840647221073e-03
3.654433638276534391e-02,-4.199636798638183770e-04,-1.662168256100625841e-03,2.076218397836295804e-01,-2.669668910440171211e-02,-6.331060051922854370e-04
4.367188392817023673e-02,-4.885377889491083429e-04,-1.894785636586824879e-03,2.111838902199347223e-01,-3.063452691612218379e-02,-4.859474572540857518e-03
5.102553523109289862e-02,-5.732361850397476016e-04,-1.767047879437292626e-03,2.188133620101571641e-01,-3.582027511464686009e-02,2.102201994428121168e-03
5.821782581010663538e-02,-6.156833371873715642e-04,-1.484730837210349302e-03,2.150371284189557253e-01,-3.827584296464250219e-02,-4.290852288944668920e-03
6.477727350614302659e-02,-7.754997862934242744e-04,-1.611499823580836519e-03,2.073788891242799859e-01,-4.968065434815756298e-02,-6.826534402949474556e-03
7.121765824390827171e-02,-8.374878291952221826e-04,-1.699936289726899355e-03,2.014034987606560245e-01,-5.323475120424982221e-02,-4.298092803060596205e-03
7.767083704522172172e-02,-8.527959675820328839e-04,-1.730876952817992373e-03,1.957240173586166088e-01,-5.313456710367960717e-02,-1.582065082893483431e-03
8.461345007370264792e-02,-9.577323914506382730e-04,-1.786869050220947150e-03,1.989655432441543859e-01,-6.000251156085888160e-02,-9.425118276025831873e-04
9.106469441262723952e-02,-9.837506507956264058e-04,-2.062290255213079012e-03,2.046988844082818781e-01,-6.076928374325720611e-02,-7.918392753467187739e-03
9.754772218751635304e-02,-1.135451074311607210e-03,-2.022221477674411572e-03,2.070381367118626914e-01,-7.125247310175022997e-02,-3.816007249996117290e-03
1.048194078389845935e-01,-1.168472546895431546e-03,-2.815234105769781180e-03,2.070070790075807798e-01,-7.148837397876377231e-02,-6.735160277069167541e-03
1.112424184450171161e-01,-1.250027392094688440e-03,-3.274603016670403401e-03,2.023074212674257910e-01,-7.567161981621539635e-02,-5.931507462004211723e-03
1.182696254557314280e-01,-1.277294153059859924e-03,-3.416059132304990250e-03,2.006696450627603601e-01,-7.546716502901180956e-02,-1.025094953150097526e-03
1.249072603735645742e-01,-1.317196721080875861e-03,-3.504674685874825408e-03,2.048218623818761075e-01,-7.658022621218900372e-02,-2.058190485955236661e-03
1.314497452339511430e-01,-1.444020398776903712e-03,-2.998905428379363292e-03,2.073110014825441105e-01,-8.499572490390312762e-02,-3.706370414821863555e-03
1.384412976358170566e-01,-1.472038867773936858e-03,-2.679829563603778990e-03,2.062499129424528455e-01,-8.567264716650679901e-02,2.363931958854811194e-04
1.450955258705632078e-01,-1.536508880113195011e-03,-2.877365288926036525e-03,2.029986444305465487e-01,-8.874462799810789448e-02,5.913087379361332309e-03
1.520284954366100671e-01,-1.575076701365384080e-03,-2.888741091712047470e-03,2.021311902062058186e-01,-8.975589368103276122e-02,5.065510713872928283e-03
1.584851855115289032e-01,-1.628685487423064526e-03,-2.760753974331829098e-03,2.036823114759773456e-01,-9.239312363181589882e-02,1.225905957020609902e-03
1.650718161589831978e-01,-1.822553666203071635e-03,-3.112307204757503408e-03,1.962259270135523204e-01,-1.052410355193384162e-01,4.431944031217974981e-04
1.717855136692368057e-01,-2.125750132175652837e-03,-2.855263360425208154e-03,1.791818915949561219e-01,-1.261201896032785319e-01,5.705372713055469058e-03
1.785428753629947352e-01,-2.176199549617737795e-03,-2.359290647738568510e-03,1.829390299453949320e-01,-1.275970721017080090e-01,1.535879566528892959e-02
1.855186459470098970e-01,-2.220527798544375507e-03,-2.047421099944289613e-03,1.932587366015391939e-01,-1.291208108781293218e-01,1.935336111928550457e-02
1.919747633342695770e-01,-2.256044348375219315e-03,-1.966568567240106150e-03,1.971684162251032546e-01,-1.305960471613141216e-01,6.498087348821790510e-03
1.987244144030523296e-01,-2.286381241231282436e-03,-2.127867323361038333e-03,2.017059751575692172e-01,-1.317446532882861066e-01,-4.357173628029490167e-03
2.053641901231560984e-01,-2.314613209007283789e-03,-1.909314224179365456e-03,2.003196775502249227e-01,-1.328823756972339065e-01,1.751777060803578687e-03
2.122064286655138132e-01,-2.344184273643580476e-03,-1.520924772303319491e-03,2.028288602040711763e-01,-1.341467473399739485e-01,1.141463853998674755e-02
2.190301311172543619e-01,-2.373505983865189985e-03,-1.459999083742343808e-03,2.053161711092508501e-01,-1.353311140956895420e-01,8.952595978726201470e-03
2.255012077207201593e-01,-2.413149172599928990e-03,-2.404564394286822469e-03,2.044797503790795334e-01,-1.368436937013892685e-01,-6.131014724460613630e-03
2.322091117883291200e-01,-2.446870221978421182e-03,-2.721611716234053485e-03,2.032488156766288911e-01,-1.376762670892930918e-01,-7.515862168592837497e-03
2.390072314859693348e-01,-2.477849325144711786e-03,-2.775611261650392202e-03,2.020697777137856754e-01,-1.382805766983065676e-01,-4.256842242809945158e-03
2.461006106394572623e-01,-2.502756390796091312e-03,-2.068653683679263101e-03,2.052489347894329852e-01,-1.389615039701761201e-01,1.087916380832561029e-02
2.526907999122980364e-01,-2.530487410254266423e-03,-2.136252054636527883e-03,2.033095928008230024e-01,-1.394326770445831754e-01,1.811687337708354009e-02
2.590286901796586272e-01,-2.550341769061673092e-03,-1.817104327373465517e-03,2.032935280312862802e-01,-1.397738129289493869e-01,1.348370693565264025e-02
2.660971906627305761e-01,-2.568936974581225580e-03,-2.033399723951538878e-03,2.047307053016775014e-01,-1.401025639695277492e-01,-2.168794550859376273e-03
2.727969473283551882e-01,-2.554425889616938200e-03,-1.933996456702157538e-03,2.068127303161094166e-01,-1.379189478027614268e-01,-1.578957625464313995e-04
2.796463152270671770e-01,-2.571101707456478931e-03,-1.595003127411657399e-03,2.060522983919030049e-01,-1.383387053787213661e-01,8.896514250055517423e-03
2.862067972883360900e-01,-2.590695633167583965e-03,-1.422398847958270722e-03,2.051488019368178373e-01,-1.387986419402927052e-01,1.382850752283325442e-02
2.927234945469569527e-01,-2.625695828696151569e-03,-2.124658602073341025e-03,2.047552818574147337e-01,-1.399096185989563146e-01,4.866601070409096869e-03
2.997835199122688699e-01,-2.641206799615755663e-03,-2.162713686562304973e-03,2.051931888111563906e-01,-1.397968506764451502e-01,-3.008520220714256972e-03
3.063671121857565738e-01,-2.645709247317974688e-03,-2.095792465987064007e-03,2.046299257915030201e-01,-1.391092833584281763e-01,-2.916811816531158716e-03
3.132279010005307174e-01,-2.653964372783502827e-03,-2.045035436192287753e-03,2.025845364816549754e-01,-1.387492920918640960e-01,-2.626665497007282368e-03
3.195962969601909842e-01,-2.656173503939420529e-03,-1.918746145440320197e-03,2.023530174292220707e-01,-1.380006152448696177e-01,3.263522308894900581e-04
3.263046411156567128e-01,-2.664457632916061424e-03,-2.180130915017451741e-03,2.040037428043996182e-01,-1.376662706651106405e-01,-9.064986760018777651e-03
3.332527115721267141e-01,-2.668022181513067092e-03,-2.306207430396020261e-03,2.056037830412104361e-01,-1.369334912157271211e-01,-1.112816346775218762e-02
3.401130684512226332e-01,-2.674543808951589455e-03,-2.736583295177792263e-03,2.066872652761800599e-01,-1.360564783981945691e-01,-1.251884011920401975e-02
3.468670253199635511e-01,-2.677588294781080465e-03,-2.760574850432456675e-03,2.044059392441852363e-01,-1.348134936973508780e-01,-4.899575349389154524e-03
3.531488059767631249e-01,-2.666684018151071686e-03,-2.510519003688789410e-03,2.009740809145660889e-01,-1.329641859306768537e-01,-4.640278879108609110e-03
3.598933634648079360e-01,-2.699225166410290470e-03,-2.947102058245696515e-03,2.008945097723217332e-01,-1.340267667902735327e-01,-1.010552273055883611e-02
3.666851896196731131e-01,-2.735214629284816665e-03,-3.054939766797716907e-03,2.041460327594355195e-01,-1.352705028628647388e-01,-1.168353756642792098e-02
3.736550693455524264e-01,-2.736573076358393523e-03,-2.926394169023373553e-03,2.046630103982022275e-01,-1.340856988707750108e-01,-1.400327944562002568e-02
3.802563208498286884e-01,-2.742426444268406850e-03,-2.576864944339408211e-03,2.049370240333875659e-01,-1.335934914654585137e-01,-6.458696606492682346e-03
3.866665192535015949e-01,-2.769413255646413843e-03,-2.567263034704599621e-03,2.002547813500845375e-01,-1.348238308251605844e-01,-1.054729822687907638e-02
3.933129434013006853e-01,-2.797053617145571491e-03,-2.789433967725400264e-03,2.007574224470579649e-01,-1.355114611137241132e-01,-1.372918368497882437e-02
4.000181936535969762e-01,-2.823499409688826848e-03,-3.033830184457617530e-03,2.031197882482489725e-01,-1.359532714330171088e-01,-1.530386872280606325e-02
4.071139480564716639e-01,-2.837322704329633440e-03,-3.107929500991333215e-03,2.049052258209405619e-01,-1.358194900149225504e-01,-2.028596986563712540e-02
4.136996413025323949e-01,-2.846665618937322360e-03,-3.524208943588689417e-03,2.046744184402395084e-01,-1.348719765116161706e-01,-1.452317290374632516e-02
4.198646268192035014e-01,-2.864056848781916520e-03,-3.955179704464986852e-03,1.990308722287625065e-01,-1.344607838757099771e-01,-1.587076478060471876e-02
4.270148085411611949e-01,-2.873481400906888628e-03,-3.194223730714337937e-03,2.014382416487908445e-01,-1.339429500343428114e-01,-5.966826627249550638e-03
4.337446924232977730e-01,-2.874100816568653065e-03,-3.213025144797492568e-03,2.032687548620056295e-01,-1.329979591716667076e-01,-1.793357593383330603e-02
4.406071631684476686e-01,-2.877902523092692750e-03,-3.070458575623188305e-03,2.043645731277244915e-01,-1.323458852979824962e-01,-1.741178059634154382e-02
4.471572155229197598e-01,-2.883619955988080390e-03,-2.650762401119149698e-03,2.041547121791781327e-01,-1.318952502405119076e-01,-7.156346130935382389e-03
4.535393075807006569e-01,-2.907626474069762140e-03,-2.517615622686429720e-03,2.008793251566091953e-01,-1.327141810782007103e-01,-3.496873729607258459e-03
4.605700185531634849e-01,-2.918711936074735135e-03,-2.840253349749654634e-03,2.011392503351962235e-01,-1.317960734714927473e-01,-2.834927284952588108e-03
4.672433745333633426e-01,-2.922909834684284808e-03,-2.930808335540735412e-03,2.034602698737610627e-01,-1.307481594372924272e-01,-9.200280471063668891e-03
4.740972859225092151e-01,-2.929279308227479475e-03,-3.166893288050386113e-03,2.063404126336235711e-01,-1.296207174921353289e-01,-8.341737908258140682e-03
4.805966288487205640e-01,-2.928474848552408815e-03,-2.466457017160019957e-03,2.058798445528524368e-01,-1.285151449450498418e-01,3.553671061675766057e-03
4.873224993227619484e-01,-2.928277951504195276e-03,-2.048274480663254526e-03,2.022397122014279458e-01,-1.275769922232053988e-01,6.754782377669649868e-03
4.942364418288132666e-01,-2.932965632459396538e-03,-1.906746236108069472e-03,2.025167758619125236e-01,-1.269948335152023544e-01,4.071292312914400781e-03
5.010085365606397056e-01,-2.936239636259887868e-03,-1.927486519127144873e-03,2.035143621374565226e-01,-1.263073029067570963e-01,-2.540376120275370832e-04
5.076702660784190302e-01,-2.932922540228470164e-03,-1.349944032734089801e-03,2.054266434368795524e-01,-1.255095139617603273e-01,5.361124686182619503e-03
5.142396854836933651e-01,-3.039152928914696725e-03,3.508241207510277892e-04,2.063803503788191607e-01,-1.341416116056070029e-01,2.576060713660124901e-02
5.211941599256926239e-01,-3.112229412351045013e-03,2.019726095405152428e-03,2.027588103166051148e-01,-1.404245315643326275e-01,4.132814849102537519e-02
5.280493105702411816e-01,-3.086410155979936801e-03,4.091066398598614158e-03,2.041371152562138913e-01,-1.401547939274847276e-01,5.025362725706896544e-02
5.348657839571824280e-01,-2.995317231912478315e-03,7.302114448176442313e-03,2.024535014636137387e-01,-1.370936467849675766e-01,6.708958984207812060e-02
5.414251385570220121e-01,-2.894095261957914736e-03,1.194932493621175644e-02,2.029537074080338677e-01,-1.359479434748496474e-01,9.285464119498795799e-02
5.477995257037554522e-01,-2.733259584712128144e-03,1.657947378567285399e-02,1.822277993734955082e-01,-1.321883471029382529e-01,1.026378021933892631e-01
5.545262341038782461e-01,-2.541204407025512719e-03,2.275788774058249211e-02,1.864397958857889337e-01,-1.316060965481941070e-01,1.216256278144443315e-01
5.613446617477503287e-01,-2.346528746275150686e-03,2.935142576400385714e-02,1.986023316753061096e-01,-1.321047163627038223e-01,1.442545147171548636e-01
5.682283670571347534e-01,-2.087738783760474930e-03,3.688472961830582125e-02,1.978420048932623410e-01,-1.325308768750702026e-01,1.685736540118027427e-01
5.744027112557820169e-01,-1.795862397644494004e-03,4.580090092165366167e-02,1.970899185114057539e-01,-1.328381901925851094e-01,1.946099299732221288e-01
5.802297705706377373e-01,-1.455995061557773711e-03,5.586187625435775489e-02,1.821625768155591130e-01,-1.329745253564011964e-01,2.268462134424835963e-01
5.861991758028962662e-01,-1.013885090337958428e-03,6.801712901056278238e-02,1.712892984045030764e-01,-1.322197366519807793e-01,2.606658747862034553e-01
5.916648460079158012e-01,-5.459245826172277232e-04,7.978435304210812484e-02,1.663352263105898066e-01,-1.313744785640842128e-01,2.816540256428047284e-01
5.972440748751739470e-01,7.086023643650737197e-06,9.202206619683525601e-02,1.649024067822674189e-01,-1.302982245339624479e-01,2.848758977839428996e-01
6.023348406444072323e-01,5.678687361246676423e-04,1.036638027034292170e-01,1.657447975686094366e-01,-1.293311745453120387e-01,2.898234162305526884e-01
6.076063988788885650e-01,1.201357551073836639e-03,1.161454508260676005e-01,1.695123266787572636e-01,-1.295096283003901727e-01,3.094972221383430755e-01
6.134187719209944767e-01,1.976639447062973967e-03,1.289062559765195015e-01,1.718610423305022006e-01,-1.292018512665128183e-01,3.194660033485480777e-01
6.190058752056768476e-01,2.791038850331753387e-03,1.410175853561789483e-01,1.711273930177789615e-01,-1.284331734309319961e-01,3.283511931591280297e-01
6.246279450358568353e-01,3.684106022252194371e-03,1.535259983225973901e-01,1.667773683867808943e-01,-1.270907859021448150e-01,3.454006862562535307e-01
6.298608413513582249e-01,4.555943121422279148e-03,1.653284750372479572e-01,1.631756660265658021e-01,-1.275610275691860529e-01,3.441541486974816766e-01
6.353713141895244165e-01,5.532046247276686639e-03,1.769537471052546884e-01,1.658715896007436907e-01,-1.286334601496209318e-01,3.413696396831908952e-01
6.410748424111318844e-01,6.631075681820100542e-03,1.887307467577508946e-01,1.674535699807384870e-01,-1.279376852742918902e-01,3.389035444063256963e-01
6.465444730747663682e-01,7.780485959576758509e-03,2.002660374333107840e-01,1.714182894732706186e-01,-1.248970928529793273e-01,3.405864190156144278e-01
6.519441735751424494e-01,8.971660200401099586e-03,2.117036260804635306e-01,1.732459143248080979e-01,-1.224451621897602316e-01,3.452178259748173716e-01
6.571149081751367360e-01,1.013962796337642205e-02,2.229324468927331715e-01,1.702369860217521347e-01,-1.225943435171303608e-01,3.447166266526473510e-01
6.627883631333624237e-01,1.149869801788360249e-02,2.348351635415129313e-01,1.683639344508096325e-01,-1.229909462801221515e-01,3.442693448270606749e-01
6.682415942826211985e-01,1.286833564282789319e-02,2.466501893638412546e-01,1.673903542364228725e-01,-1.230268420822253905e-01,3.468829417564152084e-01
6.738199316063453459e-01,1.434934017693392967e-02,2.584271960043599270e-01,1.693168216029120599e-01,-1.228836205512687935e-01,3.377106366876348464e-01
6.791597981473185275e-01,1.584528378678161722e-02,2.693782773398135655e-01,1.684274032146454159e-01,-1.208987874419786279e-01,3.326886748188542797e-01
6.841819072364105914e-01,1.732196241441027323e-02,2.803515348120306783e-01,1.687660673297955993e-01,-1.184271524557327648e-01,3.320162548088502197e-01
6.895028628736525889e-01,1.895619593969882777e-02,2.914329137325223917e-01,1.684962958251017828e-01,-1.172649700697412645e-01,3.357208197838236208e-01
6.949030294716523892e-01,2.062639401898409830e-02,3.025144795093929195e-01,1.679019339208843442e-01,-1.163895910852124488e-01,3.403562078060418661e-01
7.005658612685715658e-01,2.247755827051877223e-02,3.148322980178428487e-01,1.671940279031334242e-01,-1.158125054854863140e-01,3.487107182577682263e-01
7.058315297162973678e-01,2.426162942264292049e-02,3.266019461794493206e-01,1.655060907003450266e-01,-1.154427419087854512e-01,3.565954473485260512e-01
7.108172160447816523e-01,2.592310397584943193e-02,3.381171315330839255e-01,1.656744416989451296e-01,-1.226449540807412475e-01,3.508421058427648731e-01
7.165487130032147656e-01,2.800758523445566472e-02,3.495463362667434182e-01,1.687283360081586192e-01,-1.222581842077315045e-01,3.414995209756138128e-01
7.216759400336110186e-01,2.995863560239078391e-02,3.612055902495673876e-01,1.693332662971105684e-01,-1.210128187816735534e-01,3.398177165378895026e-01
7.270863873155815060e-01,3.208514454430502066e-02,3.731189267755625760e-01,1.688343340664498482e-01,-1.204934377584576666e-01,3.468672280750208503e-01
7.321377067917222980e-01,3.413171043047018988e-02,3.847401472117945032e-01,1.681839490341261456e-01,-1.200380519992787220e-01,3.584754752576637671e-01
7.370575300149819764e-01,3.618816642383095722e-02,3.964400274111248290e-01,1.644684038773724377e-01,-1.200512875015055103e-01,3.614763147574897584e-01
7.422857908014672823e-01,3.845259450277913049e-02,4.077255495867644353e-01,1.656710482264241169e-01,-1.192703831904528555e-01,3.528243343595421355e-01
7.474012443993643950e-01,4.073598477312039001e-02,4.184958382348216155e-01,1.662287576963873692e-01,-1.183774303979605591e-01,3.426120497239409923e-01
7.526443244962220946e-01,4.314553361297507328e-02,4.294561559741504331e-01,1.697792302080398941e-01,-1.173936381227111275e-01,3.392622908492073375e-01
7.575566254164897151e-01,4.545829687107875300e-02,4.405040173525731073e-01,1.704922045701111333e-01,-1.170887567931474249e-01,3.439970430580061023e-01
7.625429328134700757e-01,4.788133933472682457e-02,4.524741193407159634e-01,1.692696271194677193e-01,-1.171063838066025153e-01,3.549717188175178784e-01
7.676790943525001465e-01,5.046779384820184594e-02,4.645958752809722370e-01,1.677181687466526572e-01,-1.159787468158990642e-01,3.614205236089133022e-01
7.727363519453930296e-01,5.309182399085300014e-02,4.760679687199217414e-01,1.675459593918106893e-01,-1.145979439776910469e-01,3.573341038862316577e-01
7.777576553507594692e-01,5.576560310474592413e-02,4.870802015891991799e-01,1.694752586210004908e-01,-1.131708109385114458e-01,3.483598493646928862e-01
7.824829373617394612e-01,5.830124218135113168e-02,4.979760547483890742e-01,1.699044836575904494e-01,-1.150496804237008674e-01,3.411893640039054820e-01
7.873583143699325326e-01,6.101054609601870571e-02,5.092387341215875995e-01,1.676493806160420930e-01,-1.158186377208628853e-01,3.384033467642894588e-01
7.921720056581965652e-01,6.379574641915763955e-02,5.204697838789876796e-01,1.646276647825126449e-01,-1.136858288338750828e-01,3.433298464323727983e-01
7.969845861896829309e-01,6.665628941514738226e-02,5.325112820564794625e-01,1.602556608116956494e-01,-1.119480728991621848e-01,3.540521451510862949e-01
8.014537725653811950e-01,6.937872945559719895e-02,5.442460220656335501e-01,1.572692170125276623e-01,-1.104247352182659986e-01,3.592657145381757955e-01
8.056589608492396026e-01,7.201545921512825243e-02,5.565492828481162224e-01,1.561662186121592355e-01,-1.089183768590104295e-01,3.649116102464614042e-01
8.100714939975386386e-01,7.489221859391777258e-02,5.690101818927487676e-01,1.566990115978397213e-01,-1.070815253226232028e-01,3.722484378146708739e-01
8.145357618814380585e-01,7.782135901930931077e-02,5.814577378425284104e-01,1.575102901641517450e-01,-1.051706575263654520e-01,3.797892841317884738e-01
8.191104056963871560e-01,8.093349065310719015e-02,5.942946623313986043e-01,1.551374828593639343e-01,-1.035432214920968402e-01,3.801186628081342223e-01
8.232949803968204749e-01,8.384864485965894121e-02,6.062462133958598232e-01,1.552838472171171047e-01,-1.021018780267839293e-01,3.816734950983062258e-01
8.273512359340660094e-01,8.671204721142601601e-02,6.189551309705890736e-01,1.555546004069173205e-01,-1.034887723465571507e-01,3.857639855557285502e-01
8.319292129949230619e-01,9.003397100509494266e-02,6.312427233699160478e-01,1.549497019161670819e-01,-1.046423375291740537e-01,3.826557635590067119e-01
8.359560112283498379e-01,9.306652604481514823e-02,6.436724510785167830e-01,1.566400320714524674e-01,-1.034098815123489501e-01,3.876268495596912333e-01
8.402719580251085674e-01,9.641160921495572911e-02,6.565692301274768106e-01,1.542376165196909510e-01,-1.019155243515199871e-01,3.902686679070231923e-01
8.440682558629908350e-01,9.943558039006798743e-02,6.691374146493322961e-01,1.494391298994755257e-01,-1.002486237647519512e-01,3.919247638727313410e-01
8.478157471924583355e-01,1.025094977786083494e-01,6.819723515448232742e-01,1.507945400796159852e-01,-9.824675136093657946e-02,3.977263880857685452e-01
8.518249433195566045e-01,1.058829455309292372e-01,6.953192292822664156e-01,1.519666966292463062e-01,-9.643009528212480308e-02,3.988893220078206792e-01
8.558533978344423643e-01,1.093467796897921451e-01,7.079090932708280715e-01,1.557878366374356172e-01,-9.524814850995522164e-02,4.006058712337004502e-01
8.600854497034813306e-01,1.130437255521097445e-01,7.205454909229014326e-01,1.566592054022072356e-01,-9.565679233722206021e-02,3.952364097234110085e-01
8.638341729316517670e-01,1.164356093312153145e-01,7.326941525755497064e-01,1.552586539774875041e-01,-9.401060930828178397e-02,3.864876232679763102e-01
8.676751879680733026e-01,1.199906202697065827e-01,7.448889940919611874e-01,1.562301366607475039e-01,-9.282596774573972920e-02,3.872416180396007213e-01
8.714437402544096267e-01,1.235465580730491925e-01,7.571185376176986503e-01,1.572159915783910289e-01,-9.233159148780537007e-02,3.915417139404820945e-01
8.753313547417793661e-01,1.272896715435859472e-01,7.697322670543377265e-01,1.590835822461274529e-01,-9.324128436238363071e-02,3.970212576183695385e-01
8.792275577044467161e-01,1.311507091848294615e-01,7.826908663949743161e-01,1.576490392399133578e-01,-9.332034165464363207e-02,3.948959240977626961e-01
8.827423446203747082e-01,1.347547649890640520e-01,7.950315037432045262e-01,1.548681217549628397e-01,-9.162236940038930022e-02,3.901208375091853031e-01
8.862737572475292147e-01,1.384604783120466642e-01,8.074653592396496826e-01,1.555209809886866357e-01,-9.044811584810842631e-02,3.909300512427766328e-01
8.896463074497473755e-01,1.420927311174627894e-01,8.200414431989693220e-01,1.553037235343790179e-01,-8.898929745436233441e-02,3.934384477200945640e-01
8.934010161965337815e-01,1.461846623390060662e-01,8.328643034683296253e-01,1.575270485871796411e-01,-9.074876060072921413e-02,3.936018114983755312e-01
8.969439478347801531e-01,1.501865455971200802e-01,8.460445649849142047e-01,1.571136390906863467e-01,-9.019466465312354908e-02,3.924018417545406812e-01
9.002213961979024237e-01,1.539674746816571960e-01,8.583791970143110905e-01,1.556640597642375279e-01,-9.029749145118852460e-02,3.920210060459364265e-01
9.034293397245610757e-01,1.578003000834171943e-01,8.708908546524747329e-01,1.543608550152069936e-01,-9.052234783296660148e-02,3.922264591445869808e-01
9.066304182683181390e-01,1.616495075567938866e-01,8.834837408240973078e-01,1.530722782482004662e-01,-9.067705765182043631e-02,3.924946681626015343e-01
9.101374255940841707e-01,1.660413417805227110e-01,8.974078141891931315e-01,1.547372931655800199e-01,-9.057235451263513648e-02,4.025466909638886759e-01
9.133029179593112890e-01,1.701143567972331072e-01,9.097995574590610479e-01,1.553605462800950188e-01,-8.974046190452335259e-02,3.985461652174479563e-01
9.163041352253830096e-01,1.740889728250300528e-01,9.226112145688278865e-01,1.545578096979360050e-01,-8.895245408680502175e-02,3.949569187691467365e-01
9.194989214566839930e-01,1.784215816282692657e-01,9.350486911952993196e-01,1.585130013791025694e-01,-8.835399993113503270e-02,3.921960500405450856e-01
9.225933594607869104e-01,1.827347156701696618e-01,9.471809886912445631e-01,1.626390944134116778e-01,-8.738189765301009049e-02,3.875383324989515321e-01
9.259620866871464129e-01,1.874677845380957608e-01,9.586246416619743638e-01,1.662820605397275220e-01,-8.983219405760477227e-02,3.670375838251548339e-01
9.292077160955795057e-01,1.921530935769916182e-01,9.699570968402565496e-01,1.740323188207236749e-01,-9.137055039767633113e-02,3.596732960370793153e-01
9.324467433755706525e-01,1.969878550990995236e-01,9.803144453911911693e-01,1.773939533336430230e-01,-9.031311218282464526e-02,3.544717997172272539e-01
9.358568432041584062e-01,2.021781986972724376e-01,9.907691613592154445e-01,1.830391937329859109e-01,-9.001923780468781833e-02,3.440543895184922096e-01
9.393064803910666782e-01,2.074254048318128485e-01,9.997217132625191294e-01,1.868954125956780177e-01,-9.429750248636344090e-02,3.139222475541113555e-01
9.431215982031231349e-01,2.130519000776079919e-01,1.007063322329075472e+00,1.921198027708756473e-01,-1.091807399876074391e-01,2.949514306650426465e-01
9.467281469887228740e-01,2.185894928523586522e-01,1.013395232077915598e+00,1.921320677053179882e-01,-1.158992694630769649e-01,2.948464683297186695e-01
9.503580360718351105e-01,2.243742991613964788e-01,1.018243075853443536e+00,1.941377601005548625e-01,-1.154472212776432444e-01,2.946542714197331603e-01
9.540705511504361525e-01,2.302811074766064892e-01,1.021318927537552490e+00,1.983425323087208703e-01,-1.158405304522836521e-01,2.943344184236642014e-01
9.577564801064362143e-01,2.361250884446451925e-01,1.022895616621288584e+00,2.008262919195146212e-01,-1.165527995485955703e-01,2.938630234962424370e-01
9.613564645966466982e-01,2.418294002666094566e-01,1.023154113331048887e+00,2.014482112903603628e-01,-1.163423601006846192e-01,2.932219360670357822e-01
9.648222993820719795e-01,2.473296054284695455e-01,1.022995828753854086e+00,2.021443082709704075e-01,-1.151219927975555279e-01,2.924539256529456455e-01
9.685144716290348121e-01,2.531425278562656200e-01,1.022419118804592353e+00,2.094126599759165430e-01,-1.151363889510315652e-01,2.915457381298240391e-01
9.720930038933700557e-01,2.587903722273139917e-01,1.022266020628561201e+00,2.134023324907100838e-01,-1.144964230190481380e-01,2.905773911608630633e-01
9.758801710199607182e-01,2.647754032698081406e-01,1.021850209485465344e+00,2.143086868247773835e-01,-1.131706990118067496e-01,2.894768287492155978e-01
